epoch,train_loss,train_acc,val_loss,val_acc,elapsed_sec,batch_size,lr,optimizer,dataset,model,weight_decay
1,1.8609857466888429,0.3263599999904633,1.7192874292373657,0.369,45.21447992324829,128,0.001,adam,cifar10,MLP,0.0
2,1.7214542821502685,0.3790199999809265,1.744750708770752,0.3804,93.56678414344788,128,0.001,adam,cifar10,MLP,0.0
3,1.6753735889053345,0.40033999999046327,1.6988380517959594,0.4001,139.38718485832214,128,0.001,adam,cifar10,MLP,0.0
4,1.6412610264205933,0.41151999998092653,1.6812594066619873,0.408,192.13178372383118,128,0.001,adam,cifar10,MLP,0.0
5,1.6166179795837403,0.4186,1.681473048210144,0.3984,242.32406210899353,128,0.001,adam,cifar10,MLP,0.0
6,1.6112912649917603,0.42197999999046326,1.6668207038879395,0.4133,284.25175428390503,128,0.001,adam,cifar10,MLP,0.0
7,1.5853679263687135,0.43135999999046326,1.657848522567749,0.41,325.8016891479492,128,0.001,adam,cifar10,MLP,0.0
8,1.575358966026306,0.4364599999809265,1.6535760570526123,0.4094,368.30503702163696,128,0.001,adam,cifar10,MLP,0.0
9,1.565395965499878,0.4381400000190735,1.6105275047302245,0.4224,408.78634881973267,128,0.001,adam,cifar10,MLP,0.0
10,1.5579836212539673,0.4449799999809265,1.6568292129516602,0.4064,450.8963782787323,128,0.001,adam,cifar10,MLP,0.0
11,1.546509355392456,0.4434199999809265,1.6472664585113526,0.4175,496.61381554603577,128,0.001,adam,cifar10,MLP,0.0
12,1.5384226773452758,0.44637999999046324,1.6394751630783082,0.4036,540.2904324531555,128,0.001,adam,cifar10,MLP,0.0
13,1.5310253939437866,0.45160000000953676,1.6183047019958496,0.4219,588.005033493042,128,0.001,adam,cifar10,MLP,0.0
14,1.5238072794342041,0.45459999998092654,1.621239196395874,0.428,630.9462146759033,128,0.001,adam,cifar10,MLP,0.0
15,1.5221687006378173,0.45414000000953675,1.6526338285446167,0.3967,671.1643178462982,128,0.001,adam,cifar10,MLP,0.0
16,1.5120473635864258,0.4567200000095367,1.6278804271697997,0.406,711.42436003685,128,0.001,adam,cifar10,MLP,0.0
17,1.5125202826690674,0.45963999999046323,1.6656229793548585,0.398,753.2945532798767,128,0.001,adam,cifar10,MLP,0.0
18,1.5031878958511353,0.4595,1.7222045612335206,0.4059,795.6029896736145,128,0.001,adam,cifar10,MLP,0.0
19,1.4961175175476074,0.465080000038147,1.6969247074127198,0.3964,843.2522654533386,128,0.001,adam,cifar10,MLP,0.0
20,1.4986282497787475,0.4615199999809265,1.6802661266326904,0.388,893.5988981723785,128,0.001,adam,cifar10,MLP,0.0
